republican,incumbent,marriage_perception,marriage_opinion,religexempt_perception,religexempt_opinion,gunsbanassault_perception,gunsbanassault_opinion
0,1,50,54,50,37,55,66
1,0,70,51,60,32,70,70
1,0,40,56,70,32,40,70
0,1,75,65,30,36,,69
1,1,60,70,55,37,,67
1,0,10,49,70,46,10,57
1,1,40,53,40,43,,50
0,0,20,54,80,44,10,52
0,0,55,68,75,44,10,66
0,0,42,42,65,54,51,42
0,0,75,71,25,34,,67
1,0,45,50,60,45,40,56
0,0,15,49,80,50,15,47
1,0,80,80,20,27,,79
0,1,50,75,50,28,,76
0,1,65,,,,,
0,1,92,77,10,31,,77
0,0,70,68,70,36,,67
0,0,,47,70,52,,45
0,1,55,54,55,44,45,51
0,1,50,65,50,37,,63
0,1,80,69,40,34,40,67
0,0,75,60,20,40,,57
0,1,90,77,70,29,45,76
1,0,40,46,75,49,,53
1,0,21,57,45,37,,66
0,0,10,50,75,49,5,47
0,1,85,74,45,33,,70
1,0,40,73,50,32,60,69
0,0,70,66,70,37,,71
0,1,50,57,10,38,75,64
0,1,55,54,15,41,40,56
1,0,60,62,70,38,,61
0,0,35,49,55,48,5,49
1,1,30,42,75,48,,55
0,0,40,62,55,40,40,68
0,0,60,53,50,47,30,57
1,1,20,56,50,44,20,52
0,0,40,60,70,38,20,58
0,0,52,57,45,43,,55
1,1,45,54,45,38,,66
1,1,80,69,40,38,,66
1,1,50,56,60,43,40,65
1,0,30,48,80,48,25,57
1,0,20,62,60,36,,61
1,0,75,62,70,38,,68
0,0,52,56,40,41,,64
0,1,90,64,20,36,,66
0,1,90,,25,,,
1,1,35,51,60,46,45,55
0,0,0,48,50,47,50,55
0,0,60,50,50,47,,51
0,0,50,62,40,41,30,58
0,0,20,57,60,45,,56
0,0,51,59,51,41,,58
1,0,20,38,80,47,10,58
1,0,50,57,50,41,,64
0,0,40,64,70,40,20,64
0,0,40,64,20,38,,62
1,0,20,64,70,35,,69
0,0,60,56,20,43,,66
0,0,35,50,50,48,5,56
0,0,25,51,50,47,,57
0,0,40,47,10,47,,53
0,1,50,49,45,44,50,57
0,0,75,64,50,41,50,67
1,1,40,60,70,42,50,57
0,1,50,63,15,30,,79
0,1,35,41,50,51,,53
0,1,67,66,46,36,,64
0,0,60,63,30,46,,56
1,0,10,42,80,41,15,65
0,0,55,57,35,42,20,55
1,0,35,53,65,43,15,50
1,0,60,60,50,37,,68
0,0,60,49,40,46,60,59
1,0,15,48,65,32,15,71
1,0,30,58,50,41,0,56
0,1,51,64,56,35,52,71
0,0,60,70,6,36,,65
0,0,25,47,60,49,,53
1,1,20,47,50,48,20,56
0,0,65,63,35,35,,62
0,0,15,47,10,49,2,44
0,1,50,63,20,36,40,63
1,0,55,59,30,40,10,56
1,1,35,48,80,51,,51
0,1,70,70,15,29,60,70
1,0,10,36,60,53,5,48
0,1,10,48,10,33,,73
1,1,25,60,65,46,40,61
1,1,56,70,27,36,47,65
1,0,30,64,40,38,10,62
0,1,30,52,40,43,,58
0,0,30,42,30,46,80,54
1,1,10,48,80,44,10,48
0,1,30,45,30,46,30,53
0,1,30,45,20,35,,69
0,1,50,58,50,40,50,62
0,1,55,53,20,30,,73
0,1,90,74,30,30,,73
1,1,20,45,80,48,,57
1,1,70,68,20,38,,68
1,0,55,58,60,27,75,77
0,0,65,57,45,38,35,65
1,0,25,47,60,46,40,58
0,0,50,49,80,47,,57
1,0,80,63,80,37,,61
0,0,25,60,50,38,20,59
0,1,80,69,65,34,60,68
1,0,,59,,38,0,57
0,1,85,63,25,37,60,62
0,0,55,57,5,42,,63
1,0,33,66,10,35,,69
0,1,55,61,20,36,,61
1,0,75,73,60,29,25,71
1,0,10,64,80,33,10,63
0,0,40,47,80,49,20,48
1,1,60,69,,37,40,66
1,0,30,74,60,34,,70
1,0,50,59,60,41,40,62
0,1,60,68,33,33,,65
0,0,70,65,20,30,70,68
1,0,40,74,60,27,25,81
0,1,50,55,70,40,2,56
1,1,50,58,50,44,20,61
1,1,10,41,60,48,,57
0,0,60,69,20,35,50,65
1,0,36,70,84,32,,68
1,1,10,45,95,53,5,45
1,1,30,51,70,46,20,58
0,0,50,42,60,50,40,53
1,0,45,63,40,41,15,58
0,0,60,52,50,47,,50
0,0,70,54,30,43,,60
0,0,20,48,80,51,10,54
0,0,50,70,40,35,60,65
0,0,65,50,35,46,12,56
1,1,30,41,90,50,10,55
0,0,70,52,60,44,20,56
1,0,60,72,45,34,95,71
1,0,75,76,40,31,22,74
0,1,30,57,20,26,,77
1,1,35,68,59,36,35,70
0,0,50,53,80,48,10,51
0,1,65,69,25,34,50,71
0,0,45,45,50,45,,58
1,0,30,59,50,34,,61
0,0,30,47,70,48,10,53
0,0,5,49,,49,,53
1,1,48,59,62,42,,61
1,1,0,70,100,36,0,67
1,1,25,42,25,49,30,56
0,1,100,71,0,36,90,67
0,0,75,65,60,42,,60
0,0,30,47,70,49,,57
0,0,40,41,55,50,25,53
1,0,40,53,80,45,,60
0,0,70,74,40,36,,69
0,0,50,44,50,51,,43
1,0,5,41,90,48,90,54
1,0,60,76,60,34,50,72
1,1,75,65,50,40,10,62
1,0,39,58,50,43,,55
1,0,0,62,100,26,0,78
1,0,50,63,40,39,60,65
0,1,55,52,10,44,40,52
0,0,50,51,60,32,50,70
0,0,50,66,50,42,30,58
0,1,75,72,25,29,75,69
0,0,40,46,75,52,,46
1,0,55,57,50,40,50,66
0,1,50,60,37,24,76,81
1,1,40,44,60,55,,47
0,1,35,56,40,41,,63
0,1,55,59,45,39,,58
1,0,95,71,10,27,70,72
0,0,65,63,40,41,75,68
0,1,80,85,10,25,,83
1,0,33,56,50,42,,55
0,1,75,69,75,36,60,64
1,1,20,40,80,52,,48
0,1,70,61,40,39,,61
1,1,45,49,55,50,15,46
1,1,20,43,70,50,20,50
1,1,1,47,80,49,5,53
1,1,70,52,60,47,75,55
0,0,45,49,40,43,40,57
0,1,70,68,40,37,,66
1,0,60,66,60,34,,65
0,0,67,61,35,36,50,67
0,0,75,52,60,45,,55
0,0,65,57,45,42,,64
0,1,40,65,60,35,,65
1,1,30,60,90,39,,65
0,0,53,58,40,39,25,66
0,0,60,72,60,35,40,73
1,0,20,68,75,35,,73
0,1,45,66,25,24,,81
0,0,30,65,60,38,,68
0,1,80,75,70,31,70,71
0,0,50,60,50,39,,65
1,1,2,43,75,48,30,57
1,1,10,41,95,57,5,40
0,0,30,49,15,51,20,48
1,1,55,50,80,46,,56
1,0,55,62,35,36,,68
0,1,75,74,30,34,65,75
1,1,40,50,60,49,30,55
0,0,75,55,40,40,60,62
1,0,50,64,15,42,15,58
1,0,40,68,90,36,2,66
0,1,80,61,20,36,80,69
0,0,55,57,75,41,40,64
0,0,30,55,70,45,30,61
0,0,60,67,50,37,,70
1,0,51,66,35,36,,70
1,0,20,53,10,44,,53
0,0,40,55,60,45,,58
0,0,50,51,80,47,60,50
0,0,60,66,50,40,15,64
0,0,70,68,30,38,,63
0,0,75,74,30,33,,68
1,0,20,66,85,36,,64
1,0,65,72,55,29,,73
1,1,50,59,60,42,,64
1,1,20,51,80,48,20,58
0,0,75,72,40,26,70,72
0,1,70,63,50,36,50,63
0,0,50,53,50,45,,59
1,0,25,49,25,46,,48
0,0,30,40,70,50,,53
1,0,55,68,40,34,65,74
1,0,40,52,80,39,50,62
1,0,30,41,80,53,,52
0,1,80,71,40,34,,67
0,0,70,67,40,34,25,65
1,0,60,63,20,33,75,74
1,0,65,64,50,36,25,63
1,0,50,68,50,36,,63
0,0,40,52,60,45,,59
0,0,50,51,55,44,35,56
1,1,50,53,60,44,35,61
0,0,60,58,40,42,,63
0,1,10,46,80,35,,72
0,1,20,53,50,46,10,59
0,1,,71,33,36,75,67
1,0,80,71,50,32,50,66
0,0,20,60,50,41,,63
0,0,55,63,35,38,,60
0,0,35,60,35,39,30,58
0,0,10,49,80,49,10,53
0,0,50,52,0,44,10,55
1,0,10,38,80,53,,50
1,0,40,55,55,43,,54
0,1,50,63,25,36,50,60
0,0,60,58,50,44,10,61
0,1,80,75,60,33,,69
1,0,60,61,40,36,20,64
0,1,60,70,30,27,85,71
0,1,60,63,45,38,70,69
0,0,60,56,50,44,50,55
0,1,80,71,20,32,,69
1,0,40,47,25,47,50,56
0,0,90,67,50,33,,66
0,1,60,68,20,34,55,74
1,0,40,54,70,43,50,60
1,0,50,67,50,34,30,69
1,1,60,67,20,40,80,67
1,1,30,52,60,45,,57
0,1,70,62,20,36,50,68
0,0,60,59,30,42,10,57
1,1,30,50,65,48,15,56
0,0,50,74,60,35,30,75
0,1,75,74,20,32,65,74
0,1,70,61,10,41,30,57
1,0,20,40,85,51,,51
0,0,50,54,50,44,,57
1,0,35,73,30,38,,69
1,0,40,58,65,33,45,69
0,0,70,49,70,45,,56
1,1,15,38,90,50,,50
1,0,30,57,80,42,,55
1,0,54,63,30,36,32,63
0,1,65,65,25,38,35,61
1,0,20,47,55,46,,54
0,0,45,53,60,49,,51
0,0,90,40,60,49,,54
0,1,70,65,20,37,,63
0,0,70,73,35,29,,70
0,0,60,63,45,39,,59
0,0,60,57,90,27,50,75
1,1,20,65,20,45,20,64
0,1,57,53,20,44,48,58
1,1,60,53,40,46,,52
0,1,80,72,30,34,80,69
0,1,70,64,20,34,70,71
1,0,80,54,45,43,38,53
