vvweight_post,person_of_color,college,female,medicare_expand,vote_wait,votereg_problem
.18367052,0,1,0,1,,0
.68574105,0,1,0,1,,0
.4923795,0,1,0,0,,0
.77458972,0,1,1,1,,0
.38954126,0,1,0,1,,0
.41384289,0,0,1,1,,0
.75441989,0,1,0,0,,0
1.5164633,0,0,0,0,,0
.76333545,0,1,1,1,5,0
1.2371798,0,0,0,0,,0
.96665594,0,1,1,0,,0
.16830315,1,1,0,1,,0
.97572303,0,1,1,0,,0
2.3932077,0,1,1,0,,0
.39803407,0,1,0,1,,0
.41384514,0,1,0,1,,0
.96730246,0,1,1,0,,0
3.3185465,1,0,0,0,,0
.35911699,0,0,0,1,,0
.81979289,0,1,1,1,,0
.46176595,0,1,0,1,,0
.76333545,0,1,1,1,,0
1.1956594,0,1,1,1,,0
.72462147,0,1,1,1,,0
.3846456,0,1,0,1,,0
.38388278,1,1,1,1,,0
.5166607,0,1,1,1,,0
.80618346,0,0,1,0,,0
.37466383,0,1,1,1,,0
.41524035,0,0,0,1,,0
.23170527,0,1,0,1,,0
1.1603865,0,0,1,0,,0
.79601022,0,1,0,1,,0
.43205686,0,0,0,1,,0
.19956245,1,1,0,1,15,0
1.3300775,1,0,0,1,,0
1.2161962,0,1,0,0,0,0
.44345391,0,0,0,1,,0
.88163482,0,1,1,1,0,0
.94763047,0,1,0,1,,0
.36089089,0,1,0,1,,0
1.2096151,0,1,1,0,,0
.32325754,0,0,1,1,,0
.61655539,0,0,1,1,,0
.51798843,0,1,0,1,,0
.99468034,0,0,0,0,,0
.3951939,0,0,1,1,,0
.3133892,0,1,1,1,,0
.6967275,1,0,1,1,,0
.48581095,0,1,1,1,,0
.47818477,0,1,1,1,,0
.3915346,0,1,1,1,,0
.42524422,0,1,0,1,,0
.56870034,0,1,1,1,,0
.65441221,0,1,1,1,5,0
1.3736994,0,0,0,1,,0
.71057575,0,1,1,1,,0
.5555714,1,1,1,1,,0
.60501829,0,1,0,1,,0
1.0193293,0,1,1,0,,0
.41125444,0,0,1,1,,0
.40851215,0,1,0,1,,0
.71353575,0,1,1,1,,0
.55627613,0,0,1,0,,0
.18154423,0,1,0,1,,0
1.049982,0,1,1,1,,0
.80972461,0,1,1,0,,0
.66408888,0,1,1,0,,0
.41370148,0,1,0,1,,0
.46532184,0,1,1,1,5,0
.67152786,0,1,1,1,5,0
.53469285,0,0,1,1,,0
1.4334295,0,1,0,1,,0
.67210287,0,1,0,1,,0
1.3065467,0,1,0,1,0,0
.39657851,0,0,1,0,,0
.90855473,0,0,0,1,,0
.40060568,0,1,1,1,,0
.13548487,0,0,1,1,,0
.73927252,0,0,1,0,,0
.5166607,0,1,1,1,0,0
.50874395,1,1,1,1,,0
.65761034,0,1,1,1,90,0
.93077888,0,1,1,1,,0
.24951801,0,0,1,1,,0
3.2931373,0,0,0,0,,0
1.3561677,0,0,1,0,45,0
1.3820065,0,0,1,1,,0
.28887302,0,0,1,1,5,0
3.4265466,0,1,0,1,,0
1.642108,1,0,1,1,,0
1.398443,0,1,1,0,,0
.59065576,0,1,1,1,,0
1.4574089,0,1,1,1,,0
.79349583,0,1,1,1,,0
1.1501366,0,1,1,1,,0
.77952706,0,0,1,0,,0
.43509926,0,0,1,1,5,0
.69777927,0,0,0,0,5,0
.76306776,1,1,0,0,,0
.73389153,0,1,0,1,,0
.52990153,0,0,1,0,,0
1.0918016,0,1,0,1,,0
.26829198,1,1,1,1,,0
.81273193,1,1,1,1,,0
.30891945,0,1,1,0,,0
.42445633,1,1,1,1,,0
1.1665544,1,1,1,1,,0
.52990153,0,0,1,0,,0
1.0832903,0,0,0,1,5,0
.58644714,0,0,1,1,,0
